Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH07,s2a2b0,2,2,0,1,-87.90040421049797,5.98434608937464,-56.9138815252639,4.740214495056247,11.223092518389775
BMH07,s2a2b1,2,2,1,1,-85.04762803231714,1.1961868863252214,-13.859877785608864,-4.661031654885125,14.475479131534106
BMH07,s2a2b2,2,2,2,1,-63.66323771703388,14.315102586779068,16.93957779093083,-15.654132894197536,2.008909023641035
BMH08,s0a0b0,0,0,0,1,84.5957291640193,26.254362315129576,0.35045819667547246,-22.618718605097293,-6.159295780804031
BMH08,s0a0b1,0,0,1,1,159.12687665519985,-58.103262509600164,-53.16917600819247,-0.209957459254654,11.690271482555193
BMH08,s0a0b2,0,0,2,1,173.6904299112023,-61.63304823053879,-46.429530941847744,-5.1582096265065625,1.1377825818304825
BMH08,s0a1b0,0,1,0,1,-71.95370759430885,18.459874833130186,-55.72044644003163,20.991620003996907,-12.2939185180164
BMH08,s0a1b1,0,1,1,1,8.210594939939128,-9.397758620392906,53.59182137430321,9.853405266221872,-34.58939609843034
BMH08,s0a1b2,0,1,2,1,-77.35336699788095,-44.30881793457779,27.933401336303074,4.790533954360872,30.05390128444483
BMH08,s0a2b0,0,2,0,1,-76.72471072957427,28.153034297359312,-36.71050518294762,-4.186462103971143,-2.984834420415398
BMH08,s0a2b1,0,2,1,1,-66.70275448526765,22.09974817679485,-31.834809167253102,16.10339705587541,18.4314010853679
BMH08,s0a2b2,0,2,2,1,-127.92607417863992,-194.72561268370055,44.58506188775791,13.618139841983947,-4.9279261318835665
BMH08,s1a0b0,1,0,0,1,126.700022351327,-0.08097839669296351,-7.497505968570293,-18.16308986432602,0.3923204426392704
BMH08,s1a0b1,1,0,1,1,124.9771407695943,24.653655195354514,-9.389389379393704,-8.872634367360662,-9.398817990408293
BMH08,s1a0b2,1,0,2,1,142.02496606906323,-86.08135880946446,-41.38798527437416,10.275304799686277,6.508975154799012
BMH08,s1a1b0,1,1,0,1,-19.317641355829732,38.12379254936155,-7.950379913789109,-11.955494161051146,-16.23043502051982
BMH08,s1a1b1,1,1,1,1,-60.62049957745004,36.62234928912329,-23.042393467092793,-9.98524833683341,0.28346449483742375
BMH08,s1a1b2,1,1,2,1,-71.04138660438551,-46.993387290045455,28.944776288213976,-51.909034533144535,-0.04979693128772747
BMH08,s1a2b0,1,2,0,1,-75.8022605533278,15.174184590516546,-32.656016232318855,22.618461157164138,5.198134566883328
BMH08,s1a2b1,1,2,1,1,-67.29487118909445,31.671656314556216,-29.903097936320474,-29.121554314332286,-9.506754838891354
BMH08,s1a2b2,1,2,2,1,-78.12824776613769,-58.66202588276791,14.642867556286232,0.47540635450308183,-14.812668205854584
BMH08,s2a0b0,2,0,0,1,80.46488004722879,66.58834948299018,107.39814418645769,1.0406793151299376,13.306653717723751
BMH08,s2a0b1,2,0,1,1,74.66528768138157,57.737423845007214,63.174372737328625,36.13888279918205,-5.625931222847964
BMH08,s2a0b2,2,0,2,1,84.00746707859449,5.37919078703852,56.56138271001328,18.54655536745624,-2.7543943816093868
BMH08,s2a1b0,2,1,0,1,-12.293892192598669,38.40043704222022,-5.671482155424666,22.941413341061672,-1.0085080700546791
BMH08,s2a1b1,2,1,1,1,-58.1346138580536,39.45928973114627,-17.571492047987068,-16.00539840744152,4.4861888008225685
BMH08,s2a1b2,2,1,2,1,-44.304741095964374,-4.4994424988108115,47.99352412915313,-11.615932409753045,9.346746152536719
BMH08,s2a2b0,2,2,0,1,-61.97572725447992,30.725013278480393,-50.88812150226106,34.11455061694785,-0.029580576680710534
BMH08,s2a2b1,2,2,1,1,-48.61474169224549,38.91558864985985,-11.042661590860238,-11.22077274634552,-9.973868357884061
BMH08,s2a2b2,2,2,2,1,-40.27415754231061,46.067742478522966,15.689182806172123,-10.485842938152597,29.510286781147936
BMH09,s0a0b0,0,0,0,1,148.05795858999176,-35.82633955190731,-56.46272134939736,-1.3866221570440047,0.9865257018503625
BMH09,s0a0b1,0,0,1,1,129.1909639740081,-30.573086266829197,-40.7884056327374,0.7607920106587301,4.191155595915653
BMH09,s0a0b2,0,0,2,1,146.28849214906563,-70.36590369070306,-25.3754603824988,36.940739872097105,13.97192690719921
BMH09,s0a1b0,0,1,0,1,-91.32685009184185,-3.6088924697879325,-11.128094463809044,-7.252301662145124,-4.383611931297386
BMH09,s0a1b1,0,1,1,1,-60.11101989600095,-20.371707350828334,28.16735786628774,23.767238247856078,9.988713166075463
BMH09,s0a1b2,0,1,2,1,0.4399508033211745,-166.84506440530126,11.281321466971303,-39.11588911216293,-7.509391258323346
BMH09,s0a2b0,0,2,0,1,-83.42753912509181,15.397047887152302,-34.86139050224712,-12.639494162871674,4.167175832052305
BMH09,s0a2b1,0,2,1,1,-92.7277680393842,-42.96710548747467,8.41643947143443,16.511705642571922,-21.02232924712618
BMH09,s0a2b2,0,2,2,1,-71.09996167810345,-76.9647806957731,25.296612983959516,-3.5058611480179938,27.930748097993288
